Threshold,Accuracy,Precision,Recall,F1,FPR
0.87,0.9239856189008732,0.9987908101571947,0.8489208633093526,0.9177777777777778,0.001026694045174538
0.88,0.9239856189008732,0.9987908101571947,0.8489208633093526,0.9177777777777778,0.001026694045174538
0.89,0.9239856189008732,0.9987908101571947,0.8489208633093526,0.9177777777777778,0.001026694045174538
0.9,0.9239856189008732,0.9987908101571947,0.8489208633093526,0.9177777777777778,0.001026694045174538
0.91,0.9239856189008732,0.9987908101571947,0.8489208633093526,0.9177777777777778,0.001026694045174538
0.92,0.9239856189008732,0.9987908101571947,0.8489208633093526,0.9177777777777778,0.001026694045174538
0.93,0.9242424242424242,0.999395039322444,0.8489208633093526,0.9180327868852459,0.000513347022587269
0.94,0.9242424242424242,0.999395039322444,0.8489208633093526,0.9180327868852459,0.000513347022587269
0.95,0.9242424242424242,1.0,0.8484069886947585,0.9179872115651933,0.0
0.96,0.9242424242424242,1.0,0.8484069886947585,0.9179872115651933,0.0
0.97,0.9242424242424242,1.0,0.8484069886947585,0.9179872115651933,0.0
0.98,0.9242424242424242,1.0,0.8484069886947585,0.9179872115651933,0.0
0.99,0.9242424242424242,1.0,0.8484069886947585,0.9179872115651933,0.0
